age_months,l,m,s
140,-1.7862,15.2019,0.10347
141,-1.7862,15.2627,0.10372
142,-1.7862,15.3261,0.10397
143,-1.7862,15.3921,0.10423
144,-1.7862,15.4607,0.10450
145,-1.7862,15.5319,0.10477
146,-1.7862,15.6056,0.10505
147,-1.7862,15.6818,0.10534
148,-1.7862,15.7604,0.10563
149,-1.7862,15.8414,0.10593
150,-1.7862,15.9247,0.10624
151,-1.7862,16.0102,0.10655
152,-1.7862,16.0979,0.10687
153,-1.7862,16.1877,0.10719
154,-1.7862,16.2794,0.10752
155,-1.7862,16.3731,0.10786
156,-1.7862,16.4685,0.10820
157,-1.7862,16.5657,0.10855
158,-1.7862,16.6644,0.10890
159,-1.7862,16.7646,0.10926
160,-1.7862,16.8661,0.10962
161,-1.7862,16.9688,0.10999
162,-1.7862,17.0726,0.11036
163,-1.7862,17.1774,0.11074
164,-1.7862,17.2830,0.11112
165,-1.7862,17.3893,0.11151
166,-1.7862,17.4962,0.11190
167,-1.7862,17.6035,0.11229
168,-1.7862,17.7111,0.11269
169,-1.7862,17.8188,0.11309
170,-1.7862,17.9266,0.11350
171,-1.7862,18.0342,0.11391
172,-1.7862,18.1415,0.11432
173,-1.7862,18.2485,0.11474
174,-1.7862,18.3549,0.11516
175,-1.7862,18.4606,0.11558
176,-1.7862,18.5655,0.11601
177,-1.7862,18.6695,0.11644
178,-1.7862,18.7724,0.11687
179,-1.7862,18.8741,0.11730
180,-1.7862,18.9745,0.11774
181,-1.7862,19.0735,0.11818
182,-1.7862,19.1710,0.11862
183,-1.7862,19.2669,0.11906
184,-1.7862,19.3611,0.11951
185,-1.7862,19.4535,0.11996
186,-1.7862,19.5441,0.12041
187,-1.7862,19.6328,0.12086
188,-1.7862,19.7195,0.12131
189,-1.7862,19.8042,0.12177
190,-1.7862,19.8868,0.12222
191,-1.7862,19.9673,0.12268
192,-1.7862,20.0456,0.12314
193,-1.7862,20.1216,0.12360
194,-1.7862,20.1954,0.12406
195,-1.7862,20.2668,0.12452
196,-1.7862,20.3359,0.12499
197,-1.7862,20.4026,0.12545
198,-1.7862,20.4669,0.12592
199,-1.7862,20.5288,0.12638
200,-1.7862,20.5882,0.12685
201,-1.7862,20.6452,0.12732
202,-1.7862,20.6997,0.12779
203,-1.7862,20.7517,0.12826
204,-1.7862,20.8013,0.12873
205,-1.7862,20.8483,0.12920
206,-1.7862,20.8929,0.12967
207,-1.7862,20.9350,0.13015
208,-1.7862,20.9746,0.13062
209,-1.7862,21.0118,0.13109
210,-1.7862,21.0465,0.13157
211,-1.7862,21.0788,0.13204
212,-1.7862,21.1087,0.13252
213,-1.7862,21.1362,0.13299
214,-1.7862,21.1614,0.13347
215,-1.7862,21.1842,0.13394
216,-1.7862,21.2047,0.13442
217,-1.7862,21.2229,0.13490
218,-1.7862,21.2389,0.13537
219,-1.7862,21.2526,0.13585
220,-1.7862,21.2641,0.13633
221,-1.7862,21.2735,0.13680
222,-1.7862,21.2807,0.13728
223,-1.7862,21.2858,0.13776
224,-1.7862,21.2889,0.13823
225,-1.7862,21.2900,0.13871
226,-1.7862,21.2892,0.13919
227,-1.7862,21.2865,0.13966
228,-1.7862,21.2820,0.14014
