age_months,l,m,s
195,-1.4853,19.3349,0.11857
196,-1.4853,19.4108,0.11904
197,-1.4853,19.4856,0.11951
198,-1.4853,19.5592,0.11999
199,-1.4853,19.6317,0.12047
200,-1.4853,19.7030,0.12095
201,-1.4853,19.7731,0.12144
202,-1.4853,19.8419,0.12193
203,-1.4853,19.9094,0.12242
204,-1.4853,19.9756,0.12292
205,-1.4853,20.0404,0.12342
206,-1.4853,20.1039,0.12392
207,-1.4853,20.1659,0.12443
208,-1.4853,20.2265,0.12494
209,-1.4853,20.2857,0.12545
210,-1.4853,20.3434,0.12597
211,-1.4853,20.3996,0.12648
212,-1.4853,20.4543,0.12700
213,-1.4853,20.5075,0.12753
214,-1.4853,20.5592,0.12805
215,-1.4853,20.6093,0.12858
216,-1.4853,20.6579,0.12911
217,-1.4853,20.7050,0.12965
218,-1.4853,20.7505,0.13018
219,-1.4853,20.7945,0.13072
220,-1.4853,20.8369,0.13126
221,-1.4853,20.8778,0.13181
222,-1.4853,20.9171,0.13235
223,-1.4853,20.9549,0.13290
224,-1.4853,20.9912,0.13345
225,-1.4853,21.0259,0.13400
226,-1.4853,21.0591,0.13456
227,-1.4853,21.0908,0.13512
228,-1.4853,21.1210,0.13568
