height_cm,l,m,s
80.5,-0.3833,10.3393,0.08926
81,-0.3833,10.4477,0.08921
81.5,-0.3833,10.5586,0.08916
82,-0.3833,10.6719,0.08912
82.5,-0.3833,10.7874,0.08908
83,-0.3833,10.9051,0.08905
83.5,-0.3833,11.0248,0.08902
84,-0.3833,11.1462,0.08899
84.5,-0.3833,11.2691,0.08897
85,-0.3833,11.3934,0.08896
85.5,-0.3833,11.5186,0.08895
86,-0.3833,11.6444,0.08895
86.5,-0.3833,11.7705,0.08895
87,-0.3833,11.8965,0.08896
87.5,-0.3833,12.0223,0.08897
88,-0.3833,12.1478,0.08899
88.5,-0.3833,12.2729,0.08901
89,-0.3833,12.3976,0.08904
89.5,-0.3833,12.522,0.08907
90,-0.3833,12.6461,0.08911
90.5,-0.3833,12.77,0.08915
91,-0.3833,12.8939,0.0892
91.5,-0.3833,13.0177,0.08925
92,-0.3833,13.1415,0.08931
92.5,-0.3833,13.2654,0.08937
93,-0.3833,13.3896,0.08944
93.5,-0.3833,13.5142,0.08951
94,-0.3833,13.6393,0.08959
94.5,-0.3833,13.765,0.08967
95,-0.3833,13.8914,0.08975
95.5,-0.3833,14.0186,0.08984
96,-0.3833,14.1466,0.08994
96.5,-0.3833,14.2757,0.09004
97,-0.3833,14.4059,0.09015
97.5,-0.3833,14.5376,0.09026
98,-0.3833,14.671,0.09037
98.5,-0.3833,14.8062,0.09049
99,-0.3833,14.9434,0.09062
99.5,-0.3833,15.0828,0.09075
100,-0.3833,15.2246,0.09088
100.5,-0.3833,15.3687,0.09102
101,-0.3833,15.5154,0.09116
101.5,-0.3833,15.6646,0.09131
102,-0.3833,15.8164,0.09146
102.5,-0.3833,15.9707,0.09161
103,-0.3833,16.1276,0.09177
103.5,-0.3833,16.287,0.09193
104,-0.3833,16.4488,0.09209
104.5,-0.3833,16.6131,0.09226
105,-0.3833,16.78,0.09243
105.5,-0.3833,16.9496,0.09261
106,-0.3833,17.122,0.09278
106.5,-0.3833,17.2973,0.09296
107,-0.3833,17.4755,0.09315
107.5,-0.3833,17.6567,0.09333
108,-0.3833,17.8407,0.09352
108.5,-0.3833,18.0277,0.09371
109,-0.3833,18.2174,0.0939
109.5,-0.3833,18.4096,0.09409
110,-0.3833,18.6043,0.09428
110.5,-0.3833,18.8015,0.09448
111,-0.3833,19.0009,0.09467
111.5,-0.3833,19.2024,0.09487
112,-0.3833,19.406,0.09507
112.5,-0.3833,19.6116,0.09527
113,-0.3833,19.819,0.09546
113.5,-0.3833,20.028,0.09566
114,-0.3833,20.2385,0.09586
114.5,-0.3833,20.4502,0.09606
115,-0.3833,20.6629,0.09626
115.5,-0.3833,20.8766,0.09646
116,-0.3833,21.0909,0.09666
116.5,-0.3833,21.3059,0.09686
117,-0.3833,21.5213,0.09707
117.5,-0.3833,21.737,0.09727
118,-0.3833,21.9529,0.09747
118.5,-0.3833,22.169,0.09767
119,-0.3833,22.3851,0.09788
119.5,-0.3833,22.6012,0.09808
120,-0.3833,22.8173,0.09828
